"filename", "language", "JSON with Comments", "Ignore", "JSON", "JavaScript", "Markdown", "TypeScript", "Shell Script", "Docker", "TypeScript JSX", "HTML", "JavaScript JSX", "SCSS", "CSV", "comment", "blank", "total"
"d:\original\TRACNEW2\apps\tedioustest\tsconfig.spec.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\original\TRACNEW2\apps\trac-api\.eslintrc.json", "JSON with Comments", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\original\TRACNEW2\apps\trac-api\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 1, 9
"d:\original\TRACNEW2\apps\trac-api\jest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"d:\original\TRACNEW2\apps\trac-api\project.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\original\TRACNEW2\apps\trac-api\src\app\AccountCalculations.ts", "TypeScript", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 13, 14, 210
"d:\original\TRACNEW2\apps\trac-api\src\app\ApiConfiguration.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"d:\original\TRACNEW2\apps\trac-api\src\app\ChangeSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 4, 8, 103
"d:\original\TRACNEW2\apps\trac-api\src\app\DownloadPdf.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\original\TRACNEW2\apps\trac-api\src\app\DownloadSpreadsheet.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 6, 51
"d:\original\TRACNEW2\apps\trac-api\src\app\GetAndUpdateProducts.ts", "TypeScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 3, 81
"d:\original\TRACNEW2\apps\trac-api\src\app\GetAuditData.ts", "TypeScript", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 4, 11, 145
"d:\original\TRACNEW2\apps\trac-api\src\app\GetData.ts", "TypeScript", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 5, 101
"d:\original\TRACNEW2\apps\trac-api\src\app\GetSalesReps.ts", "TypeScript", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 2, 3, 117
"d:\original\TRACNEW2\apps\trac-api\src\app\GetSqlServerDataHttps.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"d:\original\TRACNEW2\apps\trac-api\src\app\RefreshData.ts", "TypeScript", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"d:\original\TRACNEW2\apps\trac-api\src\app\RemoveAudit.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 5, 69
"d:\original\TRACNEW2\apps\trac-api\src\app\StoreAuditNoteOrItem.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 8, 63
"d:\original\TRACNEW2\apps\trac-api\src\app\TemplateManager.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\original\TRACNEW2\apps\trac-api\src\app\TransferMssqlData.ts", "TypeScript", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 1, 11, 122
"d:\original\TRACNEW2\apps\trac-api\src\app\UserOps.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 27, 99
"d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\ApiConfiguration.test.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
